Observation,Viscosity,Turbidity,Density,Luminescence,Altitude,Attitude,Resistivity,pH,HP,UV absorbance,Taste,Good?
1,1.186080728,2.696052177,2.711644925,1.651145591,1.012823903,2.163594902,7.841773472,5.487403042,3.288448898,0.757204941,2.280949443,1
2,1.28266352,2.155908433,1.502595687,1.190726656,1.452537609,1.739004092,7.271162486,4.519792148,3.424466076,-2.136698245,0.643472813,1
3,1.212840525,2.747169582,4.153261289,2.456469084,2.247740933,1.825315763,9.879870279,4.970003379,3.512629088,0.872750323,1.583475721,1
4,1.145184325,0.078211661,2.899382142,5.304764862,0.22377003,1.695993244,8.979198776,4.345937119,2.350411132,1.120243017,3.64750523,1
5,0.51619533,3.076188029,4.45218779,1.912079286,0.109624488,1.591426615,9.472179254,3.79085677,2.309958287,0.550946679,-0.088720812,0
6,-0.189644595,1.80219416,1.387815521,5.170132151,1.621820995,2.686178827,8.900089491,5.625119881,2.01060612,0.661969178,-0.274945396,1
7,0.242275165,1.114810633,3.952359265,2.778957228,2.618149548,0.72742836,6.596521156,3.311556961,3.451682899,1.78975257,2.754444727,1
8,-0.387148776,2.589004265,3.590306888,3.480004812,1.170470632,1.337345338,8.064603505,2.690465919,4.022329436,1.146809672,1.1110926,0
9,0.439297872,2.468938056,2.40674505,2.947406147,0.97600153,0.150215566,9.709304577,4.09590639,3.370877986,1.116044706,0.461629527,1
10,-0.340802045,0.078961844,1.662705216,2.9336194,0.513792951,0.496704002,8.847768635,3.516528769,1.071713949,2.539195875,3.715950424,1
11,-1.672652426,1.261283053,2.148416956,3.27301619,0.928763588,0.590413374,9.244458131,4.943787879,2.226093582,0.160065531,1.28445296,1
12,0.098430202,1.729739595,0.570345685,2.594571163,3.019542044,1.95686548,8.350771149,2.49448122,3.568372622,0.710825178,2.191669689,1
13,-0.071285982,1.465104958,3.610873531,0.339041779,-0.240979023,2.880281508,8.911484114,2.909656726,2.520883863,1.361956501,1.823009009,1
14,2.501317021,1.584736206,2.9565988,3.23937963,1.647718511,1.596018847,8.392591122,4.543122121,0.86561559,0.80484426,2.023889131,1
15,0.567108439,2.277774434,2.317819004,2.536661164,1.030864486,1.306794966,7.80155187,4.227942316,2.629097664,1.840827713,1.510320239,1
16,-0.15058938,1.951537928,2.145256772,3.475276807,0.559620741,1.500303175,9.956759887,5.783628879,1.895940273,1.97802089,1.949053058,1
17,2.289771195,1.8223725,2.929188536,3.244444676,0.846229162,1.565047276,9.831916148,4.301440789,2.36258633,2.042301184,-1.118595026,1
18,3.022408905,1.984984897,1.735351357,2.668028269,0.996493436,1.309917335,9.702109168,4.324379142,1.892716516,0.084409942,1.221005882,1
19,-0.143469151,1.726323699,2.659273833,3.481787948,1.880562398,2.285653549,8.594928657,3.142317977,4.864013209,2.036283906,1.010038689,1
20,-0.316014294,1.104220792,1.884875565,1.866347542,-0.489332607,0.863052518,9.343775931,2.678701218,2.05771448,1.998047077,0.105401503,1
21,-1.079843437,2.625316077,1.85960425,3.654895937,-1.003335225,2.722335102,8.397424469,3.021783517,3.527889983,1.36307338,2.546425867,1
22,0.249302771,2.618947293,4.002825335,3.648984763,0.916254899,1.702582288,7.805105828,3.555987382,3.239644683,1.894813046,2.899146757,1
23,-1.462348446,0.80422249,1.294122582,3.073979141,0.807848848,0.25782884,10.38992387,4.343590589,3.157995058,0.470488156,1.065799201,1
24,-0.506403756,2.640983387,3.02550747,2.833057191,0.304408897,1.119511763,7.657988505,1.802409556,4.008879691,1.706580231,1.27461812,1
25,1.179837759,1.610852545,1.47179567,1.844264121,0.899384673,1.132480321,8.027316399,4.146384616,2.279613863,2.302835066,0.952496568,1
26,0.667238049,0.968668941,1.165717329,3.081174003,-2.325845075,0.170478836,10.00184176,3.267419644,3.754695851,0.561833757,3.304549699,1
27,1.14928761,1.77292017,2.508650819,1.876460226,0.695573623,3.067889431,9.197121606,4.776579637,2.36725952,1.254033747,2.779965152,1
28,-0.00077994,1.891909126,2.043755946,2.530142493,2.25208084,2.205104668,7.736507407,4.924323604,3.379625271,1.332274714,1.663317499,1
29,0.644815472,2.47727998,4.433037097,2.356715873,0.100820906,-0.204702288,8.078835481,3.870976067,3.239901178,0.359931618,1.939383703,1
30,0.897087104,0.518356129,2.218754165,3.590672644,0.495625841,0.947160025,8.475023886,4.51700776,3.911631114,1.139464932,2.864728277,1
31,1.49800931,2.744650109,3.448583455,3.464077441,1.321753989,1.91278836,9.302317219,5.706295372,4.224006406,2.814346861,1.395623784,0
32,0.753601548,1.711342322,1.072593037,0.446238623,-0.720768776,2.03202901,9.319503487,2.265732257,1.709754406,-0.122105068,1.95473343,1
33,-0.708067921,0.68554623,2.504361209,1.479422979,2.068046062,1.268695723,8.993103744,5.070205437,3.024042348,0.35013044,2.260768725,1
34,0.625537366,3.330345038,3.012962571,2.888475493,2.005508665,-0.97314823,10.05698827,2.747928306,3.311946724,1.748697265,4.14368052,1
35,-1.404705264,4.762454921,1.452019609,5.461289848,1.913737824,1.081012719,8.062280233,3.700578416,2.549969512,1.496738973,0.925782614,1
36,-0.263787979,2.544575847,2.661384538,1.762953521,0.704828569,1.800641228,8.700991981,3.554277216,1.905181828,-1.858167844,2.636137043,1
37,0.884605265,1.082009983,4.833545397,3.889984213,-0.679994546,1.472976413,9.898647753,2.406106153,2.468337697,0.359997548,2.300568426,1
38,1.423430013,0.228643681,1.793817305,2.928894649,0.544078969,3.045754035,9.321840796,3.749540938,2.631802408,0.380250325,3.143422008,1
39,2.574268454,2.749294658,3.088679174,3.684891479,0.539042395,2.04095526,9.840360671,3.167756235,5.079738056,0.195518422,1.999888531,1
40,0.436478334,1.003255346,3.449278664,3.303304608,0.720745885,0.554506493,8.486695797,3.987354482,2.03684145,1.757501792,1.787381847,1
41,1.372863821,1.896586747,2.374621672,4.049101179,0.602700403,2.331127207,8.758381071,3.548903554,3.154995636,0.693133944,2.044377169,1
42,-2.541495713,-0.380596486,3.815916751,3.389846743,1.649556406,1.42213804,10.1222855,5.554305018,3.087962123,0.110984074,2.243953844,1
43,0.302228774,0.262543602,2.371559384,2.006547221,0.599696038,2.91507998,8.283370834,3.706192872,2.409410629,1.302150024,2.870235892,1
44,2.370242293,1.553468404,3.649710723,3.394582504,0.232713589,0.11407458,6.919522474,4.677069355,1.780189956,0.056207763,2.125905694,1
45,0.973772871,3.419424493,4.25112345,3.950798407,0.827310012,0.983829144,9.52952967,4.7968392,3.540976613,0.335819398,2.660379123,1
46,1.364557247,1.567991254,3.287218733,3.183358089,2.34637559,1.02823477,9.685669296,4.802616302,2.447793636,1.364186499,2.484743554,1
47,1.52693368,2.185932138,2.694301242,1.526378535,1.532561072,1.55372809,7.396991844,5.567472586,2.330440897,-0.126366502,1.714259084,1
48,1.00638562,0.254517601,1.897078533,1.491005963,1.591063285,1.048795534,8.330741397,5.023333484,4.694290369,-1.278910154,1.076056897,1
49,-0.010889288,0.666299246,2.762455022,2.250507075,0.415381828,2.826491687,8.288284841,2.410848599,3.597900054,1.314524595,1.684493074,1
50,1.630944161,2.047546078,1.829743407,3.246039145,0.130612998,0.849816796,9.446440139,3.10840403,1.134031487,0.585110076,1.871081437,1
51,1.059151025,1.466194963,2.39878735,3.264192713,1.990202113,2.035522978,7.368456048,3.861171546,4.12050455,2.476197914,1.721833008,1
52,0.787639316,1.551585124,1.329889025,2.112595828,0.712107171,0.425507443,6.873129638,3.994662267,2.670961907,2.383391622,2.129294889,1
53,0.72542708,1.542634225,3.845668448,2.859440471,0.491715466,-0.876502045,8.842752644,2.531350681,4.657684405,1.066539995,1.391097141,1
54,0.261502519,1.377596282,1.795014872,2.809621352,2.250591749,-0.529511434,8.226903394,5.389137027,2.758377416,0.962439276,2.68089999,1
55,1.066274108,1.587422024,2.354980629,1.897064198,-1.293206818,-0.224210551,7.194164998,3.33178034,3.871300132,0.318156796,0.75775576,1
56,-0.086112807,2.117646526,2.144625393,2.56877995,0.359008952,2.132600702,8.622496137,3.078887747,1.964580188,1.891781748,0.912681485,0
57,0.127277978,3.420814126,3.956946882,3.868646113,1.810233359,1.167203774,8.900289033,4.728415032,4.637471441,2.126713051,2.847080849,1
58,-0.088676006,0.875522281,3.091488024,3.351037663,1.480235959,-0.030931784,8.292554326,4.982290539,3.305952675,1.637167623,1.247597732,1
59,1.238105975,2.73526059,1.297141807,4.451982544,0.775721627,1.541399504,9.606643216,3.452733213,2.419653971,0.395682641,2.126563447,1
60,-0.770392733,2.196945627,1.974612829,1.817862761,0.216575666,1.771749749,7.252850704,3.764225276,3.354294323,0.528559672,2.059848114,1
61,0.144363707,2.142164291,1.048457461,4.883398928,-0.99847275,0.51665451,8.158502419,4.761496688,2.182718184,-1.323539112,1.574941808,1
62,1.696387555,3.084814469,4.431702138,2.896055589,-0.274916343,2.208233607,11.17698691,4.119015223,3.143545271,1.157106991,2.130186063,1
63,-0.169507154,2.19059847,2.366714297,2.513242891,1.014451473,0.820926973,7.808550478,5.168931289,-0.222534225,0.605537529,0.807927841,1
64,-0.158597493,2.944737503,3.575193105,2.432134552,0.248471837,-0.112649517,10.09017443,2.249230439,3.176304219,1.547798541,0.790051454,1
65,0.133183732,3.415016333,2.014690314,3.966915646,0.435116557,3.208889878,10.40110223,3.266117325,1.542041109,0.66358416,3.581586408,1
